ADM_NM,low_income_ratio_proxy,beneficiary_count_proxy,population_grid_sum
고등동,0.03612225995677678,702,19434.0
곡선동,0.02698164553297435,932,34542.0
광교1동,0.00339172496193945,176,51891.0
광교2동,0.02141149913690081,645,30124.0
구운동,0.036863123710887784,840,22787.0
권선1동,0.03981955409039646,918,23054.0
권선2동,0.00751103595194694,342,45533.0
금곡동,0.027015504745663832,1204,44567.0
망포1동,0.008575949367088607,271,31600.0
망포2동,0.003845809856005724,129,33543.0
매교동,0.01702303386253097,371,21794.0
매산동,0.0790966498983196,739,9343.0
매탄1동,0.016837924186167,195,11581.0
매탄2동,0.04310468280108836,602,13966.0
매탄3동,0.02094225630300918,721,34428.0
매탄4동,0.02771220363337781,540,19486.0
서둔동,0.049684074094075714,1840,37034.0
세류1동,0.0234576141889959,246,10487.0
세류2동,0.06518987341772152,1442,22120.0
세류3동,0.06235724074920055,1092,17512.0
송죽동,0.06381865736704447,1098,17205.0
연무동,0.046507494519817526,785,16879.0
영통1동,0.004925957655121772,161,32684.0
영통2동,0.008514625600912573,209,24546.0
영통3동,0.009978035770316912,318,31870.0
영화동,0.08653846153846154,1548,17888.0
우만1동,0.11630344827586207,2108,18125.0
우만2동,0.016187370293507263,273,16865.0
원천동,0.01229254943502825,557,45312.0
율천동,0.019355330336051208,762,39369.0
인계동,0.024689180848249715,1120,45364.0
입북동,0.02463452880772927,487,19769.0
정자1동,0.015185296776137391,504,33190.0
정자2동,0.028016436309301458,1050,37478.0
정자3동,0.00853885300450186,349,40872.0
조원1동,0.055222088835534214,1564,28322.0
조원2동,0.007166420202479809,126,17582.0
지동,0.09708426786286446,909,9363.0
파장동,0.05134861082944636,1266,24655.0
평동,0.03411943043164931,1373,40241.0
행궁동,0.08743707594659662,799,9138.0
호매실동,0.036000901713255186,1597,44360.0
화서1동,0.06414987226795345,1356,21138.0
화서2동,0.011226357535082367,276,24585.0
